student_id,name,age,city,cgpa,attendance,department,phone,email
189,Student_189,,Lahor,2.79,97.5,SE,N/A,student96@gmail.com
190,Student_190,23,Karachi,2.79,,IT,,student227@gmail.com
191,Student_191,,Rawalpindi,,,IT,0346831292,student123@gmail.com
192,Student_192,20,Quetta,,97.5,AI,0346831292,student39@gmail.com
193,Student_193,18,Multan,-1,,AI,000,student46@gmail.com
194,Student_194,,Karachi,,97.5,BBA,0346831292,student244@gmail.com
195,Student_195,,Islamabad,-1,,AI,,student29@gmail.com
196,Student_196,19,Lahore,,-5,,,student190@gmail.com
197,Student_197,19,,2.79,-5,EE,000,student241@gmail.com
198,Student_198,21,,-1,-5,EE,,student221@gmail.com
199,Student_199,22,Peshawar,-1,-5,,N/A,student62@gmail.com
200,Student_200,20,,2.79,-5,,,student245@gmail.com
201,Student_201,,Islamabad,-1,97.5,,,student236@gmail.com
202,Student_202,0,Faisalabad,-1,-5,SE,0346831292,student185@gmail.com
203,Student_203,,Faisalabad,,-5,C.S,0346831292,student16@gmail.com
204,Student_204,18,Lahore,-1,-5,CS,,student184@gmail.com
205,Student_205,21,Peshawar,2.79,-5,,000,student236@gmail.com
206,Student_206,22,Multan,,,AI,0346831292,student239@gmail.com
207,Student_207,0,Lahore,,97.5,AI,000,student121@gmail.com
208,Student_208,21,Karach,2.79,-5,BBA,,student10@gmail.com
209,Student_209,23,,2.79,-5,,,student158@gmail.com
210,Student_210,22,Lahore,,-5,BBA,N/A,student153@gmail.com
211,Student_211,,,-1,97.5,,0346831292,student103@gmail.com
212,Student_212,,Karachi,,,CS,,student84@gmail.com
213,Student_213,22,Faisalabad,2.79,97.5,C.S,N/A,student133@gmail.com
214,Student_214,,Karachi,,,EE,0346831292,student65@gmail.com
215,Student_215,20,,2.79,-5,IT,,student222@gmail.com
216,Student_216,22,Karach,,-5,,,student177@gmail.com
217,Student_217,21,Peshawar,-1,97.5,C.S,0346831292,student3@gmail.com
218,Student_218,22,Multan,,97.5,EE,0346831292,student173@gmail.com
219,Student_219,0,,,,,0346831292,student142@gmail.com
220,Student_220,,Multan,2.79,,CS,,student120@gmail.com
221,Student_221,20,,2.79,97.5,BBA,,student158@gmail.com
222,Student_222,20,Islamabad,2.79,,BBA,N/A,student242@gmail.com
223,Student_223,23,Lahore,,97.5,AI,000,student68@gmail.com
224,Student_224,21,,-1,,EE,0346831292,student146@gmail.com
225,Student_225,19,Faisalabad,2.79,97.5,,,student190@gmail.com
226,Student_226,19,Lahor,2.79,97.5,C.S,,student37@gmail.com
227,Student_227,22,,,97.5,CS,0346831292,student153@gmail.com
228,Student_228,23,Multan,2.79,,EE,000,student176@gmail.com
229,Student_229,18,,-1,,,0346831292,student193@gmail.com
230,Student_230,22,Rawalpindi,-1,,IT,000,student181@gmail.com
231,Student_231,23,Rawalpindi,2.79,97.5,,,student238@gmail.com
232,Student_232,21,Karachi,2.79,,BBA,000,student207@gmail.com
233,Student_233,21,Faisalabad,,,C.S,N/A,student73@gmail.com
234,Student_234,21,Lahor,-1,97.5,BBA,,student143@gmail.com
235,Student_235,21,Islamabad,-1,-5,C.S,N/A,student49@gmail.com
236,Student_236,21,Multan,2.79,97.5,AI,0346831292,student121@gmail.com
237,Student_237,23,Lahor,,,C.S,0346831292,student88@gmail.com
238,Student_238,23,Lahore,-1,97.5,BBA,0346831292,student196@gmail.com
239,Student_239,20,Lahore,-1,-5,C.S,000,student140@gmail.com
240,Student_240,0,Multan,,97.5,IT,,student187@gmail.com
241,Student_241,19,Peshawar,,,AI,0346831292,student250@gmail.com
242,Student_242,,Islamabad,-1,-5,C.S,0346831292,student37@gmail.com
243,Student_243,21,,-1,,EE,,student61@gmail.com
244,Student_244,18,,,-5,SE,0346831292,student229@gmail.com
245,Student_245,,Peshawar,-1,-5,,N/A,student171@gmail.com
246,Student_246,23,,2.79,97.5,SE,,student124@gmail.com
247,Student_247,18,,2.79,97.5,SE,,student198@gmail.com
248,Student_248,18,Peshawar,,,CS,,student39@gmail.com
249,Student_249,18,Karachi,,97.5,IT,N/A,student184@gmail.com
250,Student_250,20,Rawalpindi,,97.5,EE,,student63@gmail.com
